MOA,Component Type,Room Type,Building Type,Evaluator Name,Year of Service,External Wall Material,Street Number,Street Complement,Street Type,Street Name,Postal Code,Municipality,Heating Type,Apartment Type,Floor,Location Precision,Year of Construction,Number of Apartments,Number of Floors,Habitable Surface,Department Code,Asbestos Presence
2,25,67,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-0.11836263734560244,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,71,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-0.11836263734560244,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,9,20,0,15,0.6025137548099119,0,-1.7357571765190931,0,6,34,4.304803781507183,88,0,8,-1.2761832032408114,179,0.4901041523794408,-0.12942675384409408,1,-0.19183073810930806,1.7758649583939983,1.0
2,1,20,0,15,0.6025137548099119,0,-1.7357571765190931,0,6,34,4.304803781507183,88,0,8,-1.2761832032408114,179,0.4901041523794408,-0.12942675384409408,1,-0.19183073810930806,1.7758649583939983,1.0
2,21,20,0,15,0.6025137548099119,0,-1.7357571765190931,0,6,34,4.304803781507183,88,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,1,-0.19183073810930806,1.7758649583939983,1.0
2,9,20,0,15,0.6025137548099119,0,-1.7357571765190931,0,6,34,4.304803781507183,88,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,1,-0.19183073810930806,1.7758649583939983,1.0
2,1,20,0,15,0.6025137548099119,0,-1.7357571765190931,0,6,34,4.304803781507183,88,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,1,-0.19183073810930806,1.7758649583939983,1.0
2,9,20,0,15,0.6025137548099119,0,-1.6625446406514242,0,6,34,4.304803781507183,88,0,8,-1.2761832032408114,179,0.4901041523794408,-0.12942675384409408,2,-0.19183073810930806,1.7758649583939983,1.0
2,9,20,0,15,0.6025137548099119,0,-1.5893321047837554,0,6,34,4.304803781507183,88,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,2,-0.19183073810930806,1.7758649583939983,1.0
2,21,20,0,15,0.6025137548099119,0,-1.5893321047837554,0,6,34,4.304803781507183,88,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,2,-0.19183073810930806,1.7758649583939983,1.0
2,1,20,0,15,0.6025137548099119,0,-1.5893321047837554,0,6,34,4.304803781507183,88,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,2,-0.19183073810930806,1.7758649583939983,1.0
2,25,20,0,15,0.8408887491195964,0,3.865001817357569,0,6,35,3.8291868334282966,84,0,8,5.6707401921304434,179,0.639587547698504,-0.12942675384409408,4,-0.19183073810930806,1.660902525454698,1.0
2,25,58,0,15,0.6025137548099119,0,-1.7723634444529275,0,6,36,6.296114675235212,83,0,8,-1.2761832032408114,179,0.4901041523794408,-0.12942675384409408,3,-0.19183073810930806,2.274035501130966,1.0
2,25,58,0,15,0.6025137548099119,0,-1.7723634444529275,0,6,36,6.296114675235212,83,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,3,-0.19183073810930806,2.274035501130966,1.0
2,25,58,0,15,0.6025137548099119,0,-1.7723634444529275,0,6,36,6.296114675235212,83,0,8,-0.11836263734560244,179,0.4901041523794408,-0.12942675384409408,3,-0.19183073810930806,2.274035501130966,1.0
2,25,58,0,15,0.6025137548099119,0,-1.7723634444529275,0,6,36,6.296114675235212,83,0,8,1.0394579285496066,179,0.4901041523794408,-0.12942675384409408,3,-0.19183073810930806,2.274035501130966,1.0
2,25,58,0,15,0.6025137548099119,0,-1.7723634444529275,0,6,36,6.296114675235212,83,0,8,2.1972784944448156,179,0.4901041523794408,-0.12942675384409408,3,-0.19183073810930806,2.274035501130966,1.0
2,25,58,0,15,0.6025137548099119,0,-1.7723634444529275,0,6,36,6.296114675235212,83,0,8,2.1972784944448156,179,0.4901041523794408,-0.12942675384409408,3,-0.19183073810930806,2.274035501130966,1.0
2,25,58,0,15,0.6025137548099119,0,-1.7723634444529275,0,6,36,6.296114675235212,83,0,8,3.3550990603400246,179,0.4901041523794408,-0.12942675384409408,3,-0.19183073810930806,2.274035501130966,1.0
